Name/NAME_CONTRACT_TYPE,Gender/CODE_GENDER,Realty/FLAG_OWN_REALTY,Children Count/CNT_CHILDREN,Income total/AMT_INCOME_TOTAL,Credit/AMT_CREDIT,Type Suite/NAME_TYPE_SUITE,Income Type/NAME_INCOME_TYPE,Education Type/NAME_EDUCATION_TYPE,Family Status/NAME_FAMILY_STATUS,Housing Type/NAME_HOUSING_TYPE,Region Population/REGION_POPULATION_RELATIVE,Days Birth/DAYS_BIRTH,Days Employed/DAYS_EMPLOYED,Days Registration/DAYS_REGISTRATION,Days ID Published/DAYS_ID_PUBLISH,Car Age/OWN_CAR_AGE,Phone No 1/FLAG_EMP_PHONE,Work Phone/FLAG_WORK_PHONE,Phone/FLAG_PHONE,Email Provided/FLAG_EMAIL,Occupation Type/OCCUPATION_TYPE,Rating Client/REGION_RATING_CLIENT,Weekday Process Started/WEEKDAY_APPR_PROCESS_START,Hour Process Started/HOUR_APPR_PROCESS_START,Region Living/REG_REGION_NoT_LIVE_REGION,REG_REGION_NoT_WORK_REGION/REG_REGION_NoT_WORK_REGION,LIVE_REGION_NoT_WORK_REGION/LIVE_REGION_NoT_WORK_REGION,City Type/CiREG_CITY_NoT_LIVE_CITY,City Type 123/REG_CITY_NoT_WORK_CITY,Organization Type/ORGANIZATION_TYPE,Ext Source 1/EXT_SOURCE_1,Ext Source 2/EXT_SOURCE_2,Ext Source 3/EXT_SOURCE_3,Apartnment Avg/APARTMENTS_AVG,YEARS_BEGINEXPLUATATION/YEARS_BEGINEXPLUATATION_AVG,Common Area Avg/COMMONAREA_AVG,Entraces Avg/ENTRANCES_AVG,Floormax Avg/FLOORSMAX_AVG,Floorsmin Avg/FLOORSMIN_AVG,Land Area Avg/LANDAREA_AVG,Non Living Apartnment/NoNLIVINGAPARTMENTS_AVG,Fondkapremont Mode/FONDKAPREMONT_MODE,Housetype/HOUSETYPE_MODE,Walls Material/WALLSMATERIAL_MODE,Emergency State Mode/EMERGENCYSTATE_MODE,OBS 30 CNT Social Circle/OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE/DEF_30_CNT_SOCIAL_CIRCLE,Last Day Phone Changed/DAYS_LAST_PHONE_CHANGE,Flag Doc 3/FLAG_DOCUMENT_3,Flag Doc 5/FLAG_DOCUMENT_5,Flag Doc 6/FLAG_DOCUMENT_6,Flag Doc 8/FLAG_DOCUMENT_8,Flag Doc 9/FLAG_DOCUMENT_9,Flag Doc 11/FLAG_DOCUMENT_11,Flag Doc 13/FLAG_DOCUMENT_13,Flag Doc 14/FLAG_DOCUMENT_14,Flag Doc 15/FLAG_DOCUMENT_15,Flag Doc 16/FLAG_DOCUMENT_16,Flag Doc 18/FLAG_DOCUMENT_18,Flag Doc 20/FLAG_DOCUMENT_20,AMT_REQ_CREDIT_BUREAU_HOUR/AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY/AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK/AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON/AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT/AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR/AMT_REQ_CREDIT_BUREAU_YEAR
radio,radio,radio,slider,textbox,textbox,dropdown,dropdown,dropdown,dropdown,dropdown,textbox,textbox,textbox,textbox,textbox,textbox,radio,radio,radio,radio,dropdown,slider,dropdown,textbox,radio,radio,radio,radio,radio,dropdown,textbox,textbox,textbox,textbox,textbox,textbox,textbox,textbox,textbox,textbox,textbox,dropdown,dropdown,dropdown,radio,textbox,textbox,textbox,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio,radio
Cash loans,Male/M,Yes/1,0,integer,integer,Unaccompanied,Working,Secondary / secondary special,Single / Not married,House / apartment,integer,integer,integer,integer,integer,integer,Yes/1,Yes/1,Yes/1,Yes/1,Laborers,0,Monday,integer,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Business Entity Type 3,integer,integer,integer,integer,integer,integer,integer,integer,integer,integer,integer,reg oper account,block of flats,Stone,Yes/Yes,integer,integer,integer,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1,Yes/1
Revolving loans,Female/F,No/0,15,270000,,Family,State servant,Higher education,Married,Rented apartment,,,,,,,No/0,No/0,No/0,No/0,Core staff,10,Tuesday,No/0,No/0,No/0,No/0,No/0,No/0,School,,,,,,,,,,,,Others,Others,Brick,No/No,,,,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0,No/0
Others,,,,,,Others,Others,Others,Others,,,,,,,,,,,,Others,,Wednesday,,,,,,,Government,,,,,,,,,,,,,,Block,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Spouse,Commercial associate,,Civil marriage,,,,,,,,,,,,Accountants,,Thursday,,,,,,,Others,,,,,,,,,,,,,,Panel,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Partner,Pensioner,,Widow,,,,,,,,,,,,Managers,,Friday,,,,,,,Religion,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Children,,,,,,,,,,,,,,,Drivers,,Saturday,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Other,,,,,,,,,,,,,,,,,Sunday,,,,,,,XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
